,EMPRESA_SIGLA,ANO,MES,MERCADO,RPK
49848,GLO,2001,1,SBBHSBSP,887040.0
49849,GLO,2001,1,SBBHSBSV,743280.0
49850,GLO,2001,1,SBBRSBGL,1172660.0
49851,GLO,2001,1,SBBRSBSP,2845110.0
49852,GLO,2001,1,SBBRSBSV,1144680.0
49853,GLO,2001,1,SBFLSBGL,NULL
49854,GLO,2001,1,SBFLSBPA,1188820.0
49855,GLO,2001,1,SBFLSBSP,2937760.0
49856,GLO,2001,1,SBBRSBGL,1960530.0
49857,GLO,2001,1,SBFLSBGL,NULL
49858,GLO,2001,1,SBGLSBPA,NULL
49859,GLO,2001,1,SBGLSBSP,2606760.0
49860,GLO,2001,1,SBGLSBSV,756378.0
49863,GLO,2001,1,SBFLSBPA,1264330.0
49864,GLO,2001,1,SBGLSBPA,NULL
49865,GLO,2001,1,SBPASBSP,NULL
49866,GLO,2001,1,SBBHSBSP,859320.0
49867,GLO,2001,1,SBBRSBSP,2486300.0
49868,GLO,2001,1,SBFLSBSP,2892860.0
49870,GLO,2001,1,SBGLSBSP,3033360.0
49871,GLO,2001,1,SBPASBSP,NULL
49872,GLO,2001,1,SBSPSBSV,100640.0
49873,GLO,2001,1,SBBHSBSV,795114.0
49874,GLO,2001,1,SBBRSBSV,1304170.0
49875,GLO,2001,1,SBGLSBSV,1369030.0
49877,GLO,2001,1,SBSPSBSV,14800.0
49878,GLO,2001,2,SBBHSBSP,2493290.0
49879,GLO,2001,2,SBBHSBSV,3404420.0
49880,GLO,2001,2,SBBRSBGL,5491310.0
49881,GLO,2001,2,SBBRSBSP,5989650.0
49882,GLO,2001,2,SBBRSBSV,3753020.0
49883,GLO,2001,2,SBFLSBGL,NULL
49884,GLO,2001,2,SBFLSBPA,2595090.0
49885,GLO,2001,2,SBFLSBSP,6111220.0
49886,GLO,2001,2,SBBRSBGL,5661320.0
49887,GLO,2001,2,SBFLSBGL,NULL
49888,GLO,2001,2,SBGLSBGR,45832.0
49889,GLO,2001,2,SBGLSBPA,NULL
49890,GLO,2001,2,SBGLSBSP,4568040.0
49891,GLO,2001,2,SBGLSBSV,2337340.0
49892,GLO,2001,2,SBFLSBGR,45835.0
49893,GLO,2001,2,SBGRSBPA,NULL
49894,GLO,2001,2,SBFLSBPA,2942840.0
49895,GLO,2001,2,SBGLSBPA,NULL
49896,GLO,2001,2,SBPASBSP,NULL
49897,GLO,2001,2,SBBHSBSP,3122780.0
49898,GLO,2001,2,SBBRSBSP,5515610.0
49899,GLO,2001,2,SBFLSBSP,6320090.0
49900,GLO,2001,2,SBGLSBSP,5637240.0
49901,GLO,2001,2,SBPASBSP,NULL
49902,GLO,2001,2,SBSPSBSV,NULL
49903,GLO,2001,2,SBBHSBSV,1971650.0
49904,GLO,2001,2,SBBRSBSV,2217740.0
49905,GLO,2001,2,SBGLSBSV,2389720.0
49906,GLO,2001,2,SBSPSBSV,NULL
49907,GLO,2001,3,SBBHSBSP,3408550.0
49908,GLO,2001,3,SBBHSBSV,2110520.0
49910,GLO,2001,3,SBBRSBGL,6064390.0
49911,GLO,2001,3,SBBRSBSP,6296950.0
49913,GLO,2001,3,SBBRSBSV,1976870.0
49914,GLO,2001,3,SBFLSBGL,NULL
49915,GLO,2001,3,SBFLSBPA,2624850.0
49916,GLO,2001,3,SBFLSBSP,7681610.0
49917,GLO,2001,3,SBBRSBGL,6769080.0
49918,GLO,2001,3,SBFLSBGL,NULL
49919,GLO,2001,3,SBGLSBPA,NULL
49920,GLO,2001,3,SBGLSBSP,5152320.0
49921,GLO,2001,3,SBGLSBSV,1207040.0
49922,GLO,2001,3,SBFLSBPA,3017620.0
49923,GLO,2001,3,SBGLSBPA,NULL
49924,GLO,2001,3,SBPASBSP,NULL
49925,GLO,2001,3,SBBHSBSP,2880360.0
49926,GLO,2001,3,SBBRSBSP,5793230.0
49927,GLO,2001,3,SBFLSBSP,7042330.0
49929,GLO,2001,3,SBGLSBSP,6005880.0
49930,GLO,2001,3,SBPASBSP,NULL
49931,GLO,2001,3,SBSPSBSV,NULL
49932,GLO,2001,3,SBBHSBSV,3818110.0
49933,GLO,2001,3,SBBRSBSV,3288640.0
49935,GLO,2001,3,SBGLSBSV,2554150.0
49936,GLO,2001,3,SBSPSBSV,NULL
49938,GLO,2001,4,SBBHSBSP,1171300.0
49940,GLO,2001,4,SBBHSBSV,1845490.0
49941,GLO,2001,4,SBBRSBGL,5377980.0
49942,GLO,2001,4,SBBRSBSP,6083060.0
49943,GLO,2001,4,SBBRSBSV,3181220.0
49944,GLO,2001,4,SBFLSBGL,NULL
49945,GLO,2001,4,SBFLSBPA,2827040.0
49946,GLO,2001,4,SBFLSBSP,7020860.0
49947,GLO,2001,4,SBBRSBGL,5147650.0
49948,GLO,2001,4,SBFLSBGL,NULL
49949,GLO,2001,4,SBGLSBPA,NULL
49950,GLO,2001,4,SBGLSBSP,4562640.0
49951,GLO,2001,4,SBGLSBSV,1281340.0
49952,GLO,2001,4,SBFLSBPA,2730120.0
49953,GLO,2001,4,SBGLSBPA,NULL
49954,GLO,2001,4,SBPASBSP,NULL
49955,GLO,2001,4,SBBHSBSP,1504940.0
49956,GLO,2001,4,SBBRSBSP,6067350.0
49957,GLO,2001,4,SBFLSBSP,7213620.0
49958,GLO,2001,4,SBGLSBSP,5415840.0
49959,GLO,2001,4,SBPASBSP,NULL
49960,GLO,2001,4,SBSPSBSV,NULL
49962,GLO,2001,4,SBBHSBSV,1336930.0
49963,GLO,2001,4,SBBRSBSV,2581220.0
49964,GLO,2001,4,SBGLSBSV,873306.0
49966,GLO,2001,4,SBSPSBSV,NULL
49968,GLO,2001,5,SBBHSBBR,218990.0
49969,GLO,2001,5,SBBHSBRF,NULL
49970,GLO,2001,5,SBBHSBSP,2844580.0
49971,GLO,2001,5,SBBHSBSV,3776060.0
49973,GLO,2001,5,SBBHSBBR,298290.0
49975,GLO,2001,5,SBBRSBCT,NULL
49976,GLO,2001,5,SBBRSBFL,NULL
49977,GLO,2001,5,SBBRSBGL,5275610.0
49978,GLO,2001,5,SBBRSBKP,NULL
49980,GLO,2001,5,SBBRSBPA,NULL
49981,GLO,2001,5,SBBRSBRF,34734.0
49983,GLO,2001,5,SBBRSBSP,4756100.0
49985,GLO,2001,5,SBBRSBSV,2307800.0
49986,GLO,2001,5,SBBHSBCT,NULL
49988,GLO,2001,5,SBBRSBCT,NULL
49989,GLO,2001,5,SBCTSBGL,NULL
49991,GLO,2001,5,SBCTSBPA,343362.0
49993,GLO,2001,5,SBCTSBSP,654056.0
49995,GLO,2001,5,SBCTSBSV,NULL
49996,GLO,2001,5,SBBRSBFL,NULL
49997,GLO,2001,5,SBFLSBGL,NULL
49998,GLO,2001,5,SBFLSBPA,2320660.0
49999,GLO,2001,5,SBFLSBRF,NULL
50000,GLO,2001,5,SBFLSBSP,4208510.0
50001,GLO,2001,5,SBFLSBSV,NULL
50003,GLO,2001,5,SBBHSBGL,80206.0
50004,GLO,2001,5,SBBRSBGL,5737180.0
50005,GLO,2001,5,SBCTSBGL,NULL
50006,GLO,2001,5,SBFLSBGL,NULL
50007,GLO,2001,5,SBGLSBKP,513420.0
50008,GLO,2001,5,SBGLSBPA,NULL
50009,GLO,2001,5,SBGLSBRF,NULL
50010,GLO,2001,5,SBGLSBSP,4495680.0
50011,GLO,2001,5,SBGLSBSV,2407990.0
50014,GLO,2001,5,SBBRSBKP,NULL
50015,GLO,2001,5,SBGLSBKP,456506.0
50017,GLO,2001,5,SBBHSBPA,NULL
50019,GLO,2001,5,SBBRSBPA,NULL
50021,GLO,2001,5,SBCTSBPA,326808.0
50022,GLO,2001,5,SBFLSBPA,2325020.0
50023,GLO,2001,5,SBGLSBPA,NULL
50024,GLO,2001,5,SBPASBRF,NULL
50026,GLO,2001,5,SBPASBSP,NULL
50027,GLO,2001,5,SBPASBSV,NULL
50028,GLO,2001,5,SBBHSBRF,NULL
50030,GLO,2001,5,SBGLSBRF,NULL
50033,GLO,2001,5,SBRFSBSP,NULL
50034,GLO,2001,5,SBRFSBSV,2341590.0
50035,GLO,2001,5,SBBHSBSP,3037610.0
50037,GLO,2001,5,SBBRSBSP,4536980.0
50039,GLO,2001,5,SBCTSBSP,525959.0
50040,GLO,2001,5,SBFLSBSP,4002580.0
50041,GLO,2001,5,SBGLSBSP,4148640.0
50043,GLO,2001,5,SBPASBSP,NULL
50044,GLO,2001,5,SBRFSBSP,NULL
50046,GLO,2001,5,SBSPSBSV,NULL
50047,GLO,2001,5,SBBHSBSV,3091460.0
50049,GLO,2001,5,SBBRSBSV,2173260.0
50051,GLO,2001,5,SBCTSBSV,NULL
50053,GLO,2001,5,SBGLSBSV,3192380.0
50055,GLO,2001,5,SBPASBSV,NULL
50056,GLO,2001,5,SBRFSBSV,2667390.0
50058,GLO,2001,5,SBSPSBSV,NULL
50060,GLO,2001,6,SBBHSBBR,1493280.0
50061,GLO,2001,6,SBBHSBRF,NULL
50063,GLO,2001,6,SBBHSBSP,3756820.0
50065,GLO,2001,6,SBBHSBSV,5717390.0
50066,GLO,2001,6,SBBHSBBR,2091690.0
50067,GLO,2001,6,SBBRSBCT,NULL
50068,GLO,2001,6,SBBRSBFL,NULL
50069,GLO,2001,6,SBBRSBGL,6093640.0
50070,GLO,2001,6,SBBRSBKP,NULL
50071,GLO,2001,6,SBBRSBPA,NULL
50073,GLO,2001,6,SBBRSBSP,6055130.0
50074,GLO,2001,6,SBBRSBSV,2714670.0
50075,GLO,2001,6,SBBHSBCT,NULL
50076,GLO,2001,6,SBBRSBCT,NULL
50077,GLO,2001,6,SBCTSBFL,14514.0
50078,GLO,2001,6,SBCTSBGL,NULL
50079,GLO,2001,6,SBCTSBPA,2820050.0
50080,GLO,2001,6,SBCTSBSP,3847880.0
50081,GLO,2001,6,SBCTSBSV,NULL
50082,GLO,2001,6,SBBRSBFL,NULL
50083,GLO,2001,6,SBFLSBGL,NULL
50084,GLO,2001,6,SBFLSBPA,2694190.0
50085,GLO,2001,6,SBFLSBRF,NULL
50086,GLO,2001,6,SBFLSBSP,4639900.0
50087,GLO,2001,6,SBFLSBSV,NULL
50088,GLO,2001,6,SBBHSBGL,527068.0
50089,GLO,2001,6,SBBRSBGL,6171330.0
50090,GLO,2001,6,SBCTSBGL,NULL
50091,GLO,2001,6,SBFLSBGL,NULL
50092,GLO,2001,6,SBGLSBKP,651526.0
50093,GLO,2001,6,SBGLSBPA,NULL
50094,GLO,2001,6,SBGLSBRF,NULL
50095,GLO,2001,6,SBGLSBSP,6386400.0
50096,GLO,2001,6,SBGLSBSV,5075410.0
50097,GLO,2001,6,SBBRSBKP,NULL
50098,GLO,2001,6,SBGLSBKP,512624.0
50099,GLO,2001,6,SBBHSBPA,NULL
50100,GLO,2001,6,SBBRSBPA,NULL
50101,GLO,2001,6,SBCTSBPA,1526710.0
50102,GLO,2001,6,SBFLSBPA,2680390.0
50103,GLO,2001,6,SBGLSBPA,NULL
50104,GLO,2001,6,SBPASBRF,NULL
50105,GLO,2001,6,SBPASBSP,46928.0
50106,GLO,2001,6,SBPASBSV,NULL
50107,GLO,2001,6,SBBHSBRF,NULL
50108,GLO,2001,6,SBGLSBRF,NULL
50109,GLO,2001,6,SBRFSBSP,NULL
50110,GLO,2001,6,SBRFSBSV,3470850.0
50112,GLO,2001,6,SBBHSBSP,4723490.0
50113,GLO,2001,6,SBBRSBSP,5918940.0
50114,GLO,2001,6,SBCTSBSP,3750560.0
50115,GLO,2001,6,SBFLSBSP,4656980.0
50116,GLO,2001,6,SBGLSBSP,5885280.0
50117,GLO,2001,6,SBPASBSP,NULL
50118,GLO,2001,6,SBRFSBSP,NULL
50120,GLO,2001,6,SBSPSBSV,NULL
50122,GLO,2001,6,SBBHSBSV,5463110.0
50123,GLO,2001,6,SBBRSBSV,2756980.0
50124,GLO,2001,6,SBCTSBSV,NULL
50125,GLO,2001,6,SBGLSBSV,4767250.0
50126,GLO,2001,6,SBPASBSV,NULL
50127,GLO,2001,6,SBRFSBSV,4517040.0
50129,GLO,2001,6,SBSPSBSV,NULL
50130,GLO,2001,7,SBBHSBBR,2048380.0
50131,GLO,2001,7,SBBHSBRF,NULL
50132,GLO,2001,7,SBBHSBSP,4818240.0
50133,GLO,2001,7,SBBHSBSV,6145750.0
50134,GLO,2001,7,SBBHSBBR,2795630.0
50135,GLO,2001,7,SBBRSBCT,NULL
50136,GLO,2001,7,SBBRSBFL,NULL
50137,GLO,2001,7,SBBRSBGL,8154710.0
50138,GLO,2001,7,SBBRSBKP,NULL
50139,GLO,2001,7,SBBRSBPA,NULL
50140,GLO,2001,7,SBBRSBSP,8922930.0
50141,GLO,2001,7,SBBRSBSV,3968930.0
50142,GLO,2001,7,SBBHSBCT,NULL
50143,GLO,2001,7,SBBRSBCT,NULL
50144,GLO,2001,7,SBCTSBGL,NULL
50145,GLO,2001,7,SBCTSBPA,3159140.0
50146,GLO,2001,7,SBCTSBSP,4975590.0
50147,GLO,2001,7,SBCTSBSV,NULL
50148,GLO,2001,7,SBBRSBFL,NULL
50149,GLO,2001,7,SBFLSBGL,NULL
50150,GLO,2001,7,SBFLSBPA,3477180.0
50151,GLO,2001,7,SBFLSBRF,NULL
50152,GLO,2001,7,SBFLSBSP,5671050.0
50153,GLO,2001,7,SBFLSBSV,NULL
50155,GLO,2001,7,SBBHSBGL,978648.0
50156,GLO,2001,7,SBBRSBGL,9251510.0
50157,GLO,2001,7,SBCTSBGL,NULL
50158,GLO,2001,7,SBFLSBGL,NULL
50159,GLO,2001,7,SBGLSBKP,1119970.0
50160,GLO,2001,7,SBGLSBPA,NULL
50161,GLO,2001,7,SBGLSBRF,NULL
50162,GLO,2001,7,SBGLSBSP,7026480.0
50163,GLO,2001,7,SBGLSBSV,5368940.0
50164,GLO,2001,7,SBBRSBKP,NULL
50165,GLO,2001,7,SBGLSBKP,906644.0
50167,GLO,2001,7,SBBHSBPA,NULL
50168,GLO,2001,7,SBBRSBPA,NULL
50169,GLO,2001,7,SBCTSBPA,2394990.0
50170,GLO,2001,7,SBFLSBPA,3452860.0
50171,GLO,2001,7,SBGLSBPA,NULL
50172,GLO,2001,7,SBPASBRF,NULL
50173,GLO,2001,7,SBPASBSP,NULL
50174,GLO,2001,7,SBPASBSV,NULL
50175,GLO,2001,7,SBBHSBRF,NULL
50176,GLO,2001,7,SBGLSBRF,NULL
50177,GLO,2001,7,SBRFSBSP,NULL
50178,GLO,2001,7,SBRFSBSV,3528610.0
50179,GLO,2001,7,SBBHSBSP,5594900.0
50180,GLO,2001,7,SBBRSBSP,7975730.0
50181,GLO,2001,7,SBCTSBSP,4707150.0
50182,GLO,2001,7,SBFLSBSP,5820380.0
50184,GLO,2001,7,SBGLSBSP,6865560.0
50186,GLO,2001,7,SBPASBSP,28492.0
50187,GLO,2001,7,SBRFSBSP,NULL
50188,GLO,2001,7,SBSPSBSV,NULL
50189,GLO,2001,7,SBBHSBSV,6111520.0
50190,GLO,2001,7,SBBRSBSV,3906000.0
50191,GLO,2001,7,SBCTSBSV,NULL
50192,GLO,2001,7,SBGLSBSV,5036430.0
50193,GLO,2001,7,SBPASBSV,NULL
50194,GLO,2001,7,SBRFSBSV,4818820.0
50195,GLO,2001,7,SBSPSBSV,NULL
50196,GLO,2001,8,SBBHSBBR,1856840.0
50197,GLO,2001,8,SBBHSBRF,NULL
50198,GLO,2001,8,SBBHSBSP,4790020.0
50199,GLO,2001,8,SBBHSBSV,6124240.0
50200,GLO,2001,8,SBBHSBBR,2332030.0
50201,GLO,2001,8,SBBRSBCT,NULL
50202,GLO,2001,8,SBBRSBFL,NULL
50203,GLO,2001,8,SBBRSBGL,6737090.0
50204,GLO,2001,8,SBBRSBKP,NULL
50205,GLO,2001,8,SBBRSBPA,NULL
50206,GLO,2001,8,SBBRSBSP,7956520.0
50207,GLO,2001,8,SBBRSBSV,3457900.0
50208,GLO,2001,8,SBBHSBCT,NULL
50209,GLO,2001,8,SBBRSBCT,NULL
50210,GLO,2001,8,SBCTSBGL,NULL
50211,GLO,2001,8,SBCTSBPA,3091330.0
50212,GLO,2001,8,SBCTSBSP,4596600.0
50213,GLO,2001,8,SBCTSBSV,NULL
50214,GLO,2001,8,SBBRSBFL,NULL
50215,GLO,2001,8,SBFLSBFL,0.0
50216,GLO,2001,8,SBFLSBGL,NULL
50218,GLO,2001,8,SBFLSBPA,3542880.0
50219,GLO,2001,8,SBFLSBRF,NULL
50220,GLO,2001,8,SBFLSBSP,5291870.0
50221,GLO,2001,8,SBFLSBSV,NULL
50224,GLO,2001,8,SBBHSBGL,1103000.0
50225,GLO,2001,8,SBBRSBGL,8503860.0
50226,GLO,2001,8,SBCTSBGL,NULL
50227,GLO,2001,8,SBFLSBGL,NULL
50229,GLO,2001,8,SBGLSBKP,969528.0
50230,GLO,2001,8,SBGLSBPA,NULL
50231,GLO,2001,8,SBGLSBRF,NULL
50232,GLO,2001,8,SBGLSBSP,7170840.0
50233,GLO,2001,8,SBGLSBSV,5206950.0
50237,GLO,2001,8,SBBRSBKP,NULL
50239,GLO,2001,8,SBGLSBKP,1001770.0
50243,GLO,2001,8,SBBHSBPA,NULL
50244,GLO,2001,8,SBBRSBPA,NULL
50245,GLO,2001,8,SBCTSBPA,2809370.0
50247,GLO,2001,8,SBFLSBPA,3571190.0
50248,GLO,2001,8,SBGLSBPA,NULL
50249,GLO,2001,8,SBPASBRF,NULL
50250,GLO,2001,8,SBPASBSP,37710.0
50251,GLO,2001,8,SBPASBSV,NULL
50252,GLO,2001,8,SBBHSBRF,NULL
50253,GLO,2001,8,SBGLSBRF,NULL
50254,GLO,2001,8,SBRFSBSP,NULL
50255,GLO,2001,8,SBRFSBSV,3866740.0
50256,GLO,2001,8,SBBHSBSP,4996660.0
50257,GLO,2001,8,SBBRSBSP,7022410.0
50258,GLO,2001,8,SBCTSBSP,4353310.0
50259,GLO,2001,8,SBFLSBSP,5469990.0
50262,GLO,2001,8,SBGLSBSP,7144920.0
50265,GLO,2001,8,SBPASBSP,139108.0
50266,GLO,2001,8,SBRFSBSP,NULL
50267,GLO,2001,8,SBSPSBSV,NULL
50268,GLO,2001,8,SBBHSBSV,6276800.0
50269,GLO,2001,8,SBBRSBSV,3489360.0
50270,GLO,2001,8,SBCTSBSV,NULL
50271,GLO,2001,8,SBGLSBSV,5412790.0
50272,GLO,2001,8,SBPASBSV,NULL
50273,GLO,2001,8,SBRFSBSV,5060900.0
50274,GLO,2001,8,SBSPSBSV,NULL
50276,GLO,2001,9,SBBESBBR,372372.0
50277,GLO,2001,9,SBBESBCT,NULL
50278,GLO,2001,9,SBBESBKP,NULL
50279,GLO,2001,9,SBBESBSP,NULL
50281,GLO,2001,9,SBBHSBBR,1441430.0
50283,GLO,2001,9,SBBHSBCT,NULL
50284,GLO,2001,9,SBBHSBGL,357894.0
50285,GLO,2001,9,SBBHSBKP,NULL
50286,GLO,2001,9,SBBHSBRF,NULL
50288,GLO,2001,9,SBBHSBSP,3395950.0
50289,GLO,2001,9,SBBHSBSV,4295380.0
50290,GLO,2001,9,SBBESBBR,282100.0
50292,GLO,2001,9,SBBHSBBR,2222230.0
50293,GLO,2001,9,SBBRSBCT,NULL
50294,GLO,2001,9,SBBRSBFL,NULL
50296,GLO,2001,9,SBBRSBGL,5980300.0
50299,GLO,2001,9,SBBRSBKP,98154.0
50300,GLO,2001,9,SBBRSBPA,NULL
50301,GLO,2001,9,SBBRSBSP,7048600.0
50302,GLO,2001,9,SBBRSBSV,3017380.0
50304,GLO,2001,9,SBBHSBCF,2650.0
50306,GLO,2001,9,SBCFSBSP,69168.0
50308,GLO,2001,9,SBCFSBSV,123711.0
50309,GLO,2001,9,SBBHSBCT,NULL
50310,GLO,2001,9,SBBRSBCT,NULL
50311,GLO,2001,9,SBCFSBCT,NULL
50312,GLO,2001,9,SBCTSBGL,400435.0
50313,GLO,2001,9,SBCTSBKP,110982.0
50314,GLO,2001,9,SBCTSBPA,2989870.0
50315,GLO,2001,9,SBCTSBSP,3548980.0
50316,GLO,2001,9,SBCTSBSV,NULL
50317,GLO,2001,9,SBBRSBFL,NULL
50318,GLO,2001,9,SBFLSBGL,NULL
50319,GLO,2001,9,SBFLSBGR,87550.0
50320,GLO,2001,9,SBFLSBPA,3088400.0
50321,GLO,2001,9,SBFLSBRF,NULL
50322,GLO,2001,9,SBFLSBSP,4608180.0
50323,GLO,2001,9,SBFLSBSV,NULL
50326,GLO,2001,9,SBBHSBGL,701634.0
50328,GLO,2001,9,SBBRSBGL,7560610.0
50329,GLO,2001,9,SBCTSBGL,340538.0
50330,GLO,2001,9,SBFLSBGL,NULL
50331,GLO,2001,9,SBGLSBGR,76836.0
50333,GLO,2001,9,SBGLSBKP,726350.0
50334,GLO,2001,9,SBGLSBPA,NULL
50335,GLO,2001,9,SBGLSBRF,NULL
50338,GLO,2001,9,SBGLSBSP,7043760.0
50339,GLO,2001,9,SBGLSBSV,5265410.0
50340,GLO,2001,9,SBBRSBGR,NULL
50341,GLO,2001,9,SBFLSBGR,NULL
50343,GLO,2001,9,SBGLSBGR,0.0
50344,GLO,2001,9,SBGRSBPA,NULL
50346,GLO,2001,9,SBGRSBSP,6832.0
50347,GLO,2001,9,SBBHSBKP,NULL
50349,GLO,2001,9,SBBRSBKP,NULL
50350,GLO,2001,9,SBCTSBKP,233481.0
50353,GLO,2001,9,SBGLSBKP,893510.0
50356,GLO,2001,9,SBKPSBSP,17472.0
50357,GLO,2001,9,SBKPSBSV,NULL
50360,GLO,2001,9,SBBHSBPA,NULL
50361,GLO,2001,9,SBBRSBPA,NULL
50362,GLO,2001,9,SBCFSBPA,NULL
50363,GLO,2001,9,SBCTSBPA,2787480.0
50364,GLO,2001,9,SBFLSBPA,2969700.0
50365,GLO,2001,9,SBGLSBPA,NULL
50366,GLO,2001,9,SBGRSBPA,NULL
50367,GLO,2001,9,SBKPSBPA,NULL
50368,GLO,2001,9,SBPASBRF,NULL
50369,GLO,2001,9,SBPASBSP,NULL
50370,GLO,2001,9,SBPASBSV,NULL
50373,GLO,2001,9,SBBHSBRF,NULL
50374,GLO,2001,9,SBGLSBRF,NULL
50375,GLO,2001,9,SBGRSBRF,NULL
50376,GLO,2001,9,SBRFSBSP,NULL
50377,GLO,2001,9,SBRFSBSV,3101570.0
50379,GLO,2001,9,SBBHSBSP,4070300.0
50381,GLO,2001,9,SBBRSBSP,6139810.0
50383,GLO,2001,9,SBCFSBSP,66548.0
50385,GLO,2001,9,SBCTSBSP,3672110.0
50386,GLO,2001,9,SBFLSBSP,5102040.0
50390,GLO,2001,9,SBGLSBSP,6629040.0
50394,GLO,2001,9,SBPASBSP,31844.0
50397,GLO,2001,9,SBRFSBSP,NULL
50399,GLO,2001,9,SBSPSBSV,NULL
50400,GLO,2001,9,SBBHSBSV,4666040.0
50401,GLO,2001,9,SBBRSBSV,3368920.0
50402,GLO,2001,9,SBCFSBSV,119875.0
50403,GLO,2001,9,SBCTSBSV,NULL
50404,GLO,2001,9,SBGLSBSV,4958480.0
50405,GLO,2001,9,SBGRSBSV,NULL
50406,GLO,2001,9,SBPASBSV,NULL
50408,GLO,2001,9,SBRFSBSV,4341810.0
50409,GLO,2001,9,SBSPSBSV,NULL
50410,GLO,2001,10,SBBESBBR,2559860.0
50411,GLO,2001,10,SBBESBCT,NULL
50412,GLO,2001,10,SBBESBSP,NULL
50413,GLO,2001,10,SBBHSBBR,1937970.0
50414,GLO,2001,10,SBBHSBCT,NULL
50415,GLO,2001,10,SBBHSBGL,689165.0
50416,GLO,2001,10,SBBHSBKP,NULL
50418,GLO,2001,10,SBBHSBSP,2999300.0
50420,GLO,2001,10,SBBHSBSV,2196590.0
50421,GLO,2001,10,SBBESBBR,2675920.0
50422,GLO,2001,10,SBBHSBBR,2483310.0
50423,GLO,2001,10,SBBRSBCT,NULL
50424,GLO,2001,10,SBBRSBFL,NULL
50426,GLO,2001,10,SBBRSBGL,4733610.0
50427,GLO,2001,10,SBBRSBPA,NULL
50428,GLO,2001,10,SBBRSBSP,7312250.0
50429,GLO,2001,10,SBBRSBSV,2184100.0
50430,GLO,2001,10,SBBHSBCT,NULL
50431,GLO,2001,10,SBBRSBCT,NULL
50432,GLO,2001,10,SBCTSBGL,1457040.0
50433,GLO,2001,10,SBCTSBKP,402397.0
50434,GLO,2001,10,SBCTSBPA,2853160.0
50435,GLO,2001,10,SBCTSBSP,3041890.0
50436,GLO,2001,10,SBCTSBSV,NULL
50437,GLO,2001,10,SBBRSBFL,NULL
50438,GLO,2001,10,SBFLSBGL,NULL
50439,GLO,2001,10,SBFLSBPA,2340620.0
50440,GLO,2001,10,SBFLSBRF,NULL
50441,GLO,2001,10,SBFLSBSP,4267560.0
50442,GLO,2001,10,SBFLSBSV,NULL
50443,GLO,2001,10,SBBHSBGL,642996.0
50445,GLO,2001,10,SBBRSBGL,5417280.0
50446,GLO,2001,10,SBCTSBGL,1200630.0
50447,GLO,2001,10,SBFLSBGL,NULL
50448,GLO,2001,10,SBGLSBKP,806746.0
50449,GLO,2001,10,SBGLSBPA,NULL
50450,GLO,2001,10,SBGLSBRF,NULL
50451,GLO,2001,10,SBGLSBSP,6738840.0
50452,GLO,2001,10,SBGLSBSV,5185030.0
50453,GLO,2001,10,SBBRSBKP,NULL
50454,GLO,2001,10,SBCTSBKP,362262.0
50455,GLO,2001,10,SBGLSBKP,880774.0
50456,GLO,2001,10,SBBHSBPA,NULL
50457,GLO,2001,10,SBBRSBPA,NULL
50458,GLO,2001,10,SBCTSBPA,2723400.0
50459,GLO,2001,10,SBFLSBPA,2517400.0
50460,GLO,2001,10,SBGLSBPA,NULL
50461,GLO,2001,10,SBPASBRF,NULL
50462,GLO,2001,10,SBPASBSP,NULL
50463,GLO,2001,10,SBPASBSV,NULL
50464,GLO,2001,10,SBBHSBRF,NULL
50465,GLO,2001,10,SBGLSBRF,NULL
50466,GLO,2001,10,SBRFSBSP,NULL
50467,GLO,2001,10,SBRFSBSV,3372200.0
50469,GLO,2001,10,SBBHSBSP,2472120.0
50470,GLO,2001,10,SBBRSBSP,6021950.0
50471,GLO,2001,10,SBCTSBSP,3130930.0
50472,GLO,2001,10,SBFLSBSP,4245600.0
50473,GLO,2001,10,SBGLSBSP,6406560.0
50475,GLO,2001,10,SBPASBSP,NULL
50477,GLO,2001,10,SBRFSBSP,NULL
50479,GLO,2001,10,SBSPSBSV,NULL
50480,GLO,2001,10,SBBHSBSV,4244520.0
50481,GLO,2001,10,SBBRSBSV,2855720.0
50482,GLO,2001,10,SBCTSBSV,NULL
50483,GLO,2001,10,SBGLSBSV,4973090.0
50484,GLO,2001,10,SBPASBSV,NULL
50486,GLO,2001,10,SBRFSBSV,1827580.0
50487,GLO,2001,10,SBSPSBSV,NULL
50488,GLO,2001,11,SBBESBBR,3872020.0
50489,GLO,2001,11,SBBESBCT,NULL
50490,GLO,2001,11,SBBESBSP,NULL
50491,GLO,2001,11,SBBHSBBR,2242360.0
50493,GLO,2001,11,SBBHSBCT,NULL
50494,GLO,2001,11,SBBHSBGL,461016.0
50496,GLO,2001,11,SBBHSBKP,NULL
50499,GLO,2001,11,SBBHSBRJ,6300.0
50501,GLO,2001,11,SBBHSBSP,3888860.0
50503,GLO,2001,11,SBBHSBSV,2331550.0
50505,GLO,2001,11,SBBHSBVT,555940.0
50506,GLO,2001,11,SBBESBBR,3467410.0
50507,GLO,2001,11,SBBHSBBR,2563830.0
50510,GLO,2001,11,SBBRSBCT,NULL
50511,GLO,2001,11,SBBRSBFL,NULL
50513,GLO,2001,11,SBBRSBGL,5715240.0
50516,GLO,2001,11,SBBRSBPA,NULL
50518,GLO,2001,11,SBBRSBRJ,NULL
50520,GLO,2001,11,SBBRSBSP,7907630.0
